attachments_num,email_subject_length,content_transfer_encoding_base64_num,content_disposition_attachment_num,content_disposition_num,content_disposition_unique_num,attachments_total_size,content_type_multipart_mixed_num,content_type_total_num,content_type_unique_num,content_transfer_encoding_unique_num,content_transfer_encoding_total_num,email_span_time,total_size_EmailMessage_in_bytes,email_eml_string_total_size_in_bytes,body_plain_text_length,Classification
0,15,2,0,0,0,0,0,2,2,1,2,5,56,8918,3275,Phishing
0,14,0,0,0,0,0,0,2,2,1,2,3588,56,24944,621,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,4,56,10571,0,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,3,56,10709,0,Phishing
0,32,0,0,0,0,0,0,1,1,1,1,5,56,4717,0,Phishing
0,50,0,0,0,0,0,0,1,1,1,1,0,56,11794,0,Phishing
0,21,2,0,0,0,0,0,2,2,1,2,5854,56,7987,2558,Phishing
0,47,0,0,0,0,0,0,1,1,1,1,3,56,16777,0,Phishing
0,15,0,0,0,0,0,0,1,1,0,0,2,56,18894,0,Phishing
0,27,2,0,0,0,0,0,2,2,1,2,1057,56,7204,2177,Phishing
3,55,3,0,3,1,52525,0,5,3,2,5,2274,56,93416,1446,Phishing
0,23,0,0,0,0,0,0,1,1,1,1,262,56,7975,0,Phishing
3,55,3,0,3,1,52525,0,5,3,2,5,14,56,94047,1446,Phishing
0,37,0,0,0,0,0,0,1,1,1,1,973,56,20953,0,Phishing
1,40,1,1,1,1,470370,0,2,2,2,2,165,56,638351,225,Phishing
0,38,0,0,0,0,0,0,1,1,1,1,159,56,20927,0,Phishing
3,44,3,0,3,1,52525,0,5,3,2,5,2,56,93106,1445,Phishing
2,39,2,0,0,0,15572,0,3,3,2,3,503,56,31217,0,Phishing
0,20,0,0,0,0,0,0,2,2,1,2,24,56,9175,556,Phishing
0,44,0,0,0,0,0,0,1,1,0,0,114,56,33505,0,Phishing
0,27,0,0,0,0,0,0,2,2,1,2,324,56,6340,553,Phishing
0,30,0,0,0,0,0,0,2,2,1,2,15,56,17247,475,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,17,56,9543,184,Phishing
0,21,0,0,0,0,0,0,2,2,1,2,942,56,7356,285,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,13,56,6783,164,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,10,56,6844,164,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,8,56,4874,516,Phishing
0,25,0,0,0,0,0,0,2,2,1,2,16,56,4918,516,Phishing
0,70,0,0,0,0,0,0,1,1,1,1,1,56,8561,0,Phishing
0,70,0,0,0,0,0,0,1,1,1,1,1,56,8557,0,Phishing
0,29,2,0,0,0,0,0,2,2,1,2,3,56,22137,10173,Phishing
0,30,0,0,0,0,0,0,1,1,0,0,1,56,15812,0,Phishing
0,36,0,0,0,0,0,0,2,2,1,2,31,56,8984,534,Phishing
0,22,0,0,0,0,0,0,2,2,2,2,4235,56,13622,1793,Phishing
0,22,0,0,0,0,0,0,2,2,1,2,99,56,9463,450,Phishing
0,58,0,0,0,0,0,0,1,1,1,1,4,56,9021,0,Phishing
0,4,0,0,0,0,0,0,2,2,1,2,199,56,7187,273,Phishing
0,37,0,0,0,0,0,0,1,1,0,0,3,56,137928,0,Phishing
0,19,0,0,0,0,0,0,2,2,1,2,1,56,11430,453,Phishing
1,33,1,0,1,1,764,0,3,3,2,3,201099,56,24505,258,Phishing
0,37,0,0,0,0,0,0,1,1,1,1,7,56,10617,0,Phishing
0,51,0,0,0,0,0,0,1,1,1,1,5,56,35823,0,Phishing
0,51,0,0,0,0,0,0,1,1,1,1,401,56,36020,0,Phishing
0,51,0,0,0,0,0,0,1,1,1,1,27679,56,35824,0,Phishing
0,77,0,0,0,0,0,0,0,0,0,0,8,56,2341,2,Phishing
0,52,0,0,0,0,0,0,1,1,1,1,5,56,6081,0,Phishing
1,49,1,0,1,1,2642,0,3,3,2,3,2,56,23337,703,Phishing
1,49,1,0,1,1,2642,0,3,3,2,3,1,56,23340,703,Phishing
3,10,3,0,0,0,8881,0,4,4,2,4,157936,56,33880,0,Phishing
0,66,0,0,0,0,0,0,1,1,1,1,10,56,16282,0,Phishing
0,32,0,0,0,0,0,0,1,1,1,1,7,56,13512,0,Phishing
0,22,0,0,0,0,0,0,2,2,1,2,2,56,22207,960,Phishing
0,163,0,0,0,0,0,0,2,2,1,2,2,56,18267,0,Phishing
0,52,0,0,0,0,0,0,1,1,1,1,6,56,10993,0,Phishing
1,33,1,0,0,0,2440,0,2,2,2,2,2,56,9666,0,Phishing
0,163,0,0,0,0,0,0,2,2,1,2,2,56,13880,0,Phishing
0,30,0,0,0,0,0,0,2,2,1,2,338,56,18805,538,Phishing
0,11,0,0,0,0,0,0,2,2,1,2,4,56,13584,431,Phishing
0,49,0,0,0,0,0,0,1,1,1,1,5,56,4025,901,Phishing
0,26,0,0,0,0,0,0,1,1,1,1,1335,56,7152,0,Phishing
0,26,0,0,0,0,0,0,1,1,1,1,11,56,6848,0,Phishing
1,77,1,1,1,1,202817,0,3,3,2,3,7,56,283338,564,Phishing
0,30,0,0,0,0,0,0,1,1,1,1,101838,56,27442,0,Phishing
0,25,0,0,0,0,0,0,1,1,1,1,21,56,4108,769,Phishing
0,48,0,0,0,0,0,0,1,1,0,0,2,56,11112,0,Phishing
0,26,0,0,0,0,0,0,1,1,0,0,1187,56,13416,0,Phishing
0,52,0,0,0,0,0,0,1,1,0,0,29,56,17726,0,Phishing
0,36,0,0,0,0,0,0,2,2,1,2,369,56,14660,1265,Phishing
0,43,0,0,0,0,0,0,1,1,1,1,1400,56,7920,0,Phishing
0,13,0,0,0,0,0,0,2,2,1,2,1378,56,39943,7271,Phishing
0,58,0,0,0,0,0,0,1,1,1,1,10,56,13909,0,Phishing
1,28,1,1,1,1,174598,0,3,3,2,3,12,56,242941,144,Phishing
0,38,0,0,0,0,0,0,1,1,1,1,2,56,16939,0,Phishing
0,51,0,0,0,0,0,0,2,2,1,2,30754,56,9197,761,Phishing
0,51,0,0,0,0,0,0,2,2,1,2,69744,56,9197,761,Phishing
0,63,0,0,0,0,0,0,1,1,0,0,121,56,21277,0,Phishing
0,17,0,0,0,0,0,0,1,1,0,0,1,56,8313,0,Phishing
0,37,0,0,0,0,0,0,1,1,1,1,10378,56,8883,0,Phishing
0,21,0,0,0,0,0,0,1,1,1,1,14,56,4139,771,Phishing
0,56,0,0,0,0,0,0,2,2,1,2,12545,56,18046,1034,Phishing
0,56,0,0,0,0,0,0,2,2,1,2,7881,56,18487,1407,Phishing
0,25,0,0,0,0,0,0,1,1,1,1,8,56,4030,0,Phishing
0,56,0,0,0,0,0,0,2,2,1,2,18095,56,18487,1407,Phishing
0,64,0,0,0,0,0,0,2,2,1,2,116254,56,6214,303,Phishing
0,64,0,0,0,0,0,0,2,2,1,2,105714,56,6219,303,Phishing
0,56,0,0,0,0,0,0,2,2,1,2,36836,56,18485,1407,Phishing
0,43,0,0,0,0,0,0,2,2,1,2,579,56,8167,515,Phishing
0,6,0,0,0,0,0,0,2,2,1,2,683,56,5210,443,Phishing
0,14,0,0,0,0,0,0,1,1,0,0,151764,56,13434,0,Phishing
0,21,0,0,0,0,0,0,2,2,1,2,2527,56,7951,560,Phishing
1,38,1,1,1,1,71960,0,3,3,2,2,3,56,174297,2433,Phishing
0,64,0,0,0,0,0,0,1,1,0,0,7,56,9896,0,Phishing
0,0,0,0,0,0,0,0,2,2,1,2,8,56,12666,260,Phishing
1,112,1,1,1,1,144187,0,3,3,2,2,4,56,200398,362,Phishing
0,36,0,0,0,0,0,0,2,2,1,2,645,56,5432,313,Phishing
0,14,0,0,0,0,0,0,2,2,1,2,23,56,24207,1009,Phishing
0,49,0,0,0,0,0,0,2,2,1,2,1253,56,4121,334,Phishing
0,43,0,0,0,0,0,0,2,2,1,2,10,56,5110,277,Phishing
1,20,1,1,1,1,1566,0,3,3,2,2,1173,56,36266,1268,Phishing
0,26,0,0,0,0,0,0,2,2,1,2,2664,56,16535,1053,Phishing
0,26,0,0,0,0,0,0,2,2,1,2,192,56,7659,319,Phishing
0,31,0,0,0,0,0,0,1,1,1,1,0,56,7144,0,Phishing
0,28,0,0,0,0,0,0,1,1,1,1,62,56,18782,0,Phishing
0,24,0,0,0,0,0,0,1,1,1,1,2,56,8159,0,Phishing
0,71,0,0,0,0,0,0,2,2,1,2,582,56,14755,837,Phishing
0,28,0,0,0,0,0,0,1,1,1,1,1508,56,7541,0,Phishing
0,17,0,0,0,0,0,0,2,2,1,2,73,56,15094,412,Phishing
0,28,0,0,0,0,0,0,2,2,1,2,297,56,15653,533,Phishing
0,50,0,0,0,0,0,0,1,1,1,1,67,56,10114,0,Phishing
0,59,2,0,0,0,0,0,2,2,1,2,1,56,82132,38611,Phishing
0,52,0,0,0,0,0,0,2,2,1,2,4560,56,14372,203,Phishing
0,38,0,0,0,0,0,0,2,2,1,2,87,56,11633,763,Phishing
0,52,0,0,0,0,0,0,1,1,1,1,1,56,17741,0,Phishing
0,22,0,0,0,0,0,0,2,2,1,2,7,56,13876,601,Phishing
0,52,0,0,0,0,0,0,1,1,1,1,2,56,17750,0,Phishing
0,15,0,0,0,0,0,0,2,2,1,2,79,56,74446,742,Phishing
0,44,0,0,0,0,0,0,2,2,1,2,3107,56,6555,196,Phishing
1,31,0,1,1,1,301875,0,4,3,1,4,106565,56,354358,2347,Phishing
12,61,12,0,0,0,21716,0,13,13,2,13,4,56,46013,0,Phishing
